col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
2,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,必修
3,A1110030,线性代数A,3,48 | 0 | 0 | 0,理学院,必修
4,A1050030,大学英语1,4,64 | 0 | 0 | 0,外国语学院,必修
5,A1040040,C语言程序设计,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
6,A2140070,工程图学,3,48 | 0 | 0 | 0,先进制造工程学院,必修
7,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
合计设置,必修：23.5 选修：0,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
2,A1110340,大学物理实验B（上）,1,0 | 16 | 0 | 0,理学院,必修
3,A1110310,大学物理B（上）,3,48 | 0 | 0 | 0,理学院,必修
4,A1110020,高等数学A(下),5.5,88 | 0 | 0 | 0,理学院,必修
5,A1050050,大学英语3,4,64 | 0 | 0 | 0,外国语学院,必修
6,A2140250,制图实践与数字化建模,3,24 | 24 | 0 | 0,先进制造工程学院,必修
7,A2021080,电工学上,3.5,40 | 16 | 0 | 0,光电工程学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
9,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
合计设置,必修：25 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2020810,电子技术实验B,1.5,0 | 24 | 0 | 0,光电工程学院,必修
2,A2021110,电工学下,4,64 | 0 | 0 | 0,光电工程学院,必修
3,A2140190,理论力学,3.5,56 | 0 | 0 | 0,先进制造工程学院,必修
4,A1110341,大学物理实验B（下）,1,0 | 16 | 0 | 0,理学院,必修
5,A1110320,大学物理B（下）,3,48 | 0 | 0 | 0,理学院,必修
6,A1040080,数据结构,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
7,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
9,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
合计设置,必修：16.5 选修：4,,,,,
,,,,,,
第4学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1110140,概率论与数理统计,3,48 | 0 | 0 | 0,理学院,必修
2,A2140160,机械原理,3.5,56 | 0 | 0 | 0,先进制造工程学院,必修
3,A2140170,机械制造与互换性基础,2,32 | 0 | 0 | 0,先进制造工程学院,必修
4,A2140330,机械控制工程基础(上),2,32 | 0 | 0 | 0,先进制造工程学院,必修
