col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2120350,电视艺术概论,3,48 | 0 | 0 | 0,传媒艺术学院,必修
2,A1050010,大学英语(1),4,64 | 0 | 0 | 0,外国语学院,必修
3,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
4,A2121060,艺术概论A,3,48 | 0 | 0 | 0,传媒艺术学院,必修
5,A2121180,影视作品分析1,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修
6,A2121260,中外文学,4,64 | 0 | 0 | 0,传媒艺术学院,必修
7,A2121560,摄影,3,24 | 24 | 0 | 0,传媒艺术学院,必修
8,A2122030,故事写作,2,32 | 0 | 0 | 0,传媒艺术学院,必修
9,A2121070,音乐基础,2,32 | 0 | 0 | 0,传媒艺术学院,选修
合计设置,必修：21.5 选修：2,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
2,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
3,A1050020,大学英语(2),4,64 | 0 | 0 | 0,外国语学院,必修
4,A2121510,计算机艺术设计基础,2,16 | 16 | 0 | 0,传媒艺术学院,必修
5,A2121420,摄像技术1,4,32 | 32 | 0 | 0,传媒艺术学院,必修
6,A2121190,影视作品分析2,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修
7,A2121170,影视音频技术,2,24 | 8 | 0 | 0,传媒艺术学院,必修
8,A2120870,视听语言,2,32 | 0 | 0 | 0,传媒艺术学院,必修
9,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
合计设置,必修：19.5 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2121081,影视编辑技艺B,4,24 | 40 | 0 | 0,传媒艺术学院,必修
2,A2121200,影视作品分析3,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修
3,A2121430,摄像技术2,2,16 | 16 | 0 | 0,传媒艺术学院,必修
4,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
5,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
6,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
7,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
8,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
