19,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
20,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
21,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
1,A2040510,算法分析与设计B,2.5,40 | 0 | 0 | 0,计算机科学与技术学院,必修
2,A2021200,模拟电子电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修
3,A2011470,控制理论及控制系统仿真设计B,4,64 | 0 | 0 | 0,自动化学院,必修
4,A2020361,电子电路基础C,3,48 | 0 | 0 | 0,光电工程学院,必修
5,A2010481,无线通信电波传播,3,32 | 16 | 0 | 0,通信与信息工程学院,必修
6,A2010562,信号与系统C,3.5,56 | 0 | 0 | 0,通信与信息工程学院,必修
7,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
8,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
9,A1050200,法语1,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1110180,数学建模B,2,32 | 0 | 0 | 0,理学院,选修
11,A1050180,德语1,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1050160,日语1,2,32 | 0 | 0 | 0,外国语学院,选修
13,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
14,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
15,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
16,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
17,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
18,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
19,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
20,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
21,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
1,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修
2,A2010562,信号与系统C,3.5,56 | 0 | 0 | 0,通信与信息工程学院,必修
3,A2020360,电子电路基础A,3.5,56 | 0 | 0 | 0,光电工程学院,必修
4,A2020430,电磁场与电磁波(双语)A,3.5,56 | 0 | 0 | 0,光电工程学院,必修
5,A2020810,电子技术实验B,1.5,0 | 24 | 0 | 0,光电工程学院,必修
6,A2080010,电装实习,1,0 | 0 | 1.0周 | 0,自动化学院,必修
7,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
8,A1050160,日语1,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050200,法语1,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1050180,德语1,2,32 | 0 | 0 | 0,外国语学院,选修
11,A2020390,数字与逻辑电路基础,3,48 | 0 | 0 | 0,光电工程学院,选修
12,A2020400,数字与逻辑电路基础（双语）,3,48 | 0 | 0 | 0,光电工程学院,选修
13,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
14,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
15,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
16,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
17,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
18,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
19,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
20,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
21,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
1,A2080010,电装实习,1,0 | 0 | 1.0周 | 0,自动化学院,必修
2,A2020320,专业基础导论,3,48 | 0 | 0 | 0,光电工程学院,必修
3,A2020810,电子技术实验B,1.5,0 | 24 | 0 | 0,光电工程学院,必修
4,A2020270,物理光学,2.5,40 | 0 | 0 | 0,光电工程学院,必修
5,A2020360,电子电路基础A,3.5,56 | 0 | 0 | 0,光电工程学院,必修
6,A2020400,数字与逻辑电路基础（双语）,3,48 | 0 | 0 | 0,光电工程学院,必修
7,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修
8,A2021490,光电信息综合实验,3,0 | 48 | 0 | 0,光电工程学院,必修
9,A2080620,误差理论与数据处理,2,32 | 0 | 0 | 0,自动化学院,选修
10,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2031280,统计软件应用实践,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
2,A2031290,统计学,3,48 | 0 | 0 | 0,经济管理学院,必修
3,A2030990,管理学A,3,48 | 0 | 0 | 0,经济管理学院,必修
4,A2030640,数据结构,4.5,56 | 16 | 0 | 0,经济管理学院,必修
5,A200001B,认识实习,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
6,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
7,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
8,A1050200,法语1,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050180,德语1,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1030070,Excel管理数据分析,2,16 | 16 | 0 | 0,经济管理学院,选修
11,A1050160,日语1,2,32 | 0 | 0 | 0,外国语学院,选修
12,A2030680,信息安全技术,2.5,32 | 8 | 0 | 0,经济管理学院,选修
13,A2030560,计算机系统结构与系统软件,3,48 | 0 | 0 | 0,经济管理学院,选修
14,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
15,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
16,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
17,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
18,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
19,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
20,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
21,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
22,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
1,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
2,A200001B,认识实习,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
3,A2031280,统计软件应用实践,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
4,A2031290,统计学,3,48 | 0 | 0 | 0,经济管理学院,必修
5,A2030060,国际经济学（双语）,3,48 | 0 | 0 | 0,经济管理学院,必修
6,A2030020,产业经济学,3,48 | 0 | 0 | 0,经济管理学院,必修
7,A2030150,金融学,3,48 | 0 | 0 | 0,经济管理学院,必修
8,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
9,A2030250,项目投资可行性分析,2,32 | 0 | 0 | 0,经济管理学院,选修
10,A2030010,财政学,3,48 | 0 | 0 | 0,经济管理学院,选修
11,A2031250,市场营销学B,2,32 | 0 | 0 | 0,经济管理学院,选修
12,A1050160,日语1,2,32 | 0 | 0 | 0,外国语学院,选修
13,A1050200,法语1,2,32 | 0 | 0 | 0,外国语学院,选修
14,A1050180,德语1,2,32 | 0 | 0 | 0,外国语学院,选修
15,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
16,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
17,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
18,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
19,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
20,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
21,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
22,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
23,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
1,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
2,A2030490,工程项目管理,4,64 | 0 | 0 | 0,经济管理学院,必修
3,A2030720,智能楼宇工程模拟仿真,2,0 | 0 | 2.0周 | 0,经济管理学院,必修
4,A2031280,统计软件应用实践,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
5,A2031290,统计学,3,48 | 0 | 0 | 0,经济管理学院,必修
6,A200004B,企业调查,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
7,A2010330,通信施工技术实验,2,0 | 32 | 0 | 0,通信与信息工程学院,必修
8,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
9,A1050180,德语1,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1030090,电子商务概论,2,32 | 0 | 0 | 0,经济管理学院,选修
11,A1050160,日语1,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1050200,法语1,2,32 | 0 | 0 | 0,外国语学院,选修
13,A1030040,数据库系统应用,3,32 | 16 | 0 | 0,经济管理学院,选修
14,A2031040,会计学,3,48 | 0 | 0 | 0,经济管理学院,选修
15,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
16,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
17,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
