col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
2,A1110090,工科数学分析（上）,5.5,88 | 0 | 0 | 0,理学院,必修
3,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
4,A1040020,计算机科学导论,2,32 | 0 | 0 | 0,计算机科学与技术学院,必修
5,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
6,A1110110,线性代数与解析几何,3,48 | 0 | 0 | 0,理学院,必修
7,A2140080,工程图学与计算机绘图A,3,32 | 16 | 0 | 0,先进制造工程学院,必修
8,A2021550,新生研讨课,1,0 | 0 | 1.0周 | 0,光电工程学院,必修
合计设置,必修：22.5 选修：0,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1110290,大学物理A（上）,3,48 | 0 | 0 | 0,理学院,必修
2,A1110100,工科数学分析（下）,5.5,88 | 0 | 0 | 0,理学院,必修
3,A1110340,大学物理实验B（上）,1,0 | 16 | 0 | 0,理学院,必修
4,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
5,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
6,A1050050,大学英语3,4,64 | 0 | 0 | 0,外国语学院,必修
7,A1040050,C++语言程序设计,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
8,A2140010,金工实习B,1,0 | 0 | 1.0周 | 0,先进制造工程学院,必修
9,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
合计设置,必修：21.5 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2020800,电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修
2,A2020330,应用光学,2,32 | 0 | 0 | 0,光电工程学院,必修
3,A2020350,电路分析基础B,3.5,56 | 0 | 0 | 0,光电工程学院,必修
4,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
5,A1110341,大学物理实验B（下）,1,0 | 16 | 0 | 0,理学院,必修
6,A1110300,大学物理A（下）,3,48 | 0 | 0 | 0,理学院,必修
7,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
9,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
10,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
13,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
合计设置,必修：16 选修：10.5,,,,,
