col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
2,A1030010,大学计算机基础,1,16 | 0 | 0 | 0,经济管理学院,必修
3,A1030020,计算机应用实践,1,0 | 16 | 0 | 0,经济管理学院,必修
4,A1050010,大学英语(1),4,64 | 0 | 0 | 0,外国语学院,必修
5,A2090290,体育基本理论与体育管理,2,32 | 0 | 0 | 0,体育学院,必修
6,A2090260,社会体育导论,2,32 | 0 | 0 | 0,体育学院,必修
7,A2090160,乒乓球,3,48 | 0 | 0 | 0,体育学院,必修
8,A2090650,足球,3,48 | 0 | 0 | 0,体育学院,必修
合计设置,必修：19 选修：0,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2090570,羽毛球,3,48 | 0 | 0 | 0,体育学院,必修
2,A2090550,游泳与救生1,2,32 | 0 | 0 | 0,体育学院,必修
3,A2090390,体育心理学,2,32 | 0 | 0 | 0,体育学院,必修
4,A2090210,器械健身,3,48 | 0 | 0 | 0,体育学院,必修
5,A2060510,运动解剖学,3,40 | 8 | 0 | 0,生物信息学院,必修
6,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
7,A1050020,大学英语(2),4,64 | 0 | 0 | 0,外国语学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
合计设置,必修：20 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2060270,运动生理学,3,40 | 8 | 0 | 0,生物信息学院,必修
2,A200001D,认识实习,1,0 | 0 | 1.0周 | 0,体育学院,必修
3,A2090280,体育测量与评价,2,32 | 0 | 0 | 0,体育学院,必修
4,A2090340,体育竞赛组织与管理,2,32 | 0 | 0 | 0,体育学院,必修
5,A2090560,游泳与救生2,1,16 | 0 | 0 | 0,体育学院,必修
6,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
7,A2090470,武术,3,48 | 0 | 0 | 0,体育学院,选修
8,A2090430,网球,3,48 | 0 | 0 | 0,体育学院,选修
9,A2090020,健美操,3,48 | 0 | 0 | 0,体育学院,选修
10,A2090100,篮球,3,48 | 0 | 0 | 0,体育学院,选修
11,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
12,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
13,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
14,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
15,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
16,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
