1,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
2,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
3,A1050170,日语2,2,32 | 0 | 0 | 0,外国语学院,选修
4,A1050190,德语2,2,32 | 0 | 0 | 0,外国语学院,选修
5,A1050210,法语2,2,32 | 0 | 0 | 0,外国语学院,选修
1,A2010342,通信原理E,4,56 | 8 | 0 | 0,通信与信息工程学院,必修
2,A2020410,通信电子电路A,3,48 | 0 | 0 | 0,光电工程学院,必修
3,A2020531,半导体物理B,3.5,56 | 0 | 0 | 0,光电工程学院,必修
4,A2020860,课程设计（电路及电子综合设计）,1,0 | 0 | 1.0周 | 0,光电工程学院,必修
5,A2021140,电子电路仿真设计实验,1,0 | 16 | 0 | 0,光电工程学院,必修
6,A2021170,集中上机（通信系统MATLAB仿真）,1,0 | 16 | 0 | 0,光电工程学院,必修
7,A2020690,数字系统与单片机,3,16 | 32 | 0 | 0,光电工程学院,选修
8,A2040150,微机原理与接口技术,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A2010341,通信原理F,3,48 | 0 | 0 | 0,通信与信息工程学院,必修
2,A1040070,微机原理与接口技术（微处理器原理与应用）,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
3,A2020410,通信电子电路A,3,48 | 0 | 0 | 0,光电工程学院,必修
4,A2020531,半导体物理B,3.5,56 | 0 | 0 | 0,光电工程学院,必修
5,A2020860,课程设计（电路及电子综合设计）,1,0 | 0 | 1.0周 | 0,光电工程学院,必修
6,A2021140,电子电路仿真设计实验,1,0 | 16 | 0 | 0,光电工程学院,必修
7,A2020690,数字系统与单片机,3,16 | 32 | 0 | 0,光电工程学院,选修
8,A2020570,电子设计与电子系统,3,16 | 32 | 0 | 0,光电工程学院,选修
1,A2020270,物理光学,2.5,40 | 0 | 0 | 0,光电工程学院,必修
2,A2020310,信息光学与光信息处理,3,48 | 0 | 0 | 0,光电工程学院,必修
3,A2020320,专业基础导论,3,48 | 0 | 0 | 0,光电工程学院,必修
4,A2020330,应用光学,2,32 | 0 | 0 | 0,光电工程学院,必修
5,A2021160,光电子技术及应用,3,48 | 0 | 0 | 0,光电工程学院,必修
6,A2020190,集成光学,3,48 | 0 | 0 | 0,光电工程学院,选修
7,A2021490,光电信息综合实验,3,0 | 48 | 0 | 0,光电工程学院,选修
1,A2020780,电磁工程仿真与设计,2,8 | 24 | 0 | 0,光电工程学院,必修
