col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1030010,大学计算机基础,1,16 | 0 | 0 | 0,经济管理学院,必修
2,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,必修
3,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
4,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
5,A2050230,基础英语1,4,64 | 0 | 0 | 0,外国语学院,必修
6,A2050630,英语听力1,2,0 | 32 | 0 | 0,外国语学院,必修
7,A2050580,英语基础阅读,2,32 | 0 | 0 | 0,外国语学院,必修
8,A2050720,英语语音实践,1,0 | 16 | 0 | 0,外国语学院,必修
9,A2050600,英语口语1,2,0 | 32 | 0 | 0,外国语学院,必修
10,A2050780,专业导论1,1,16 | 0 | 0 | 0,外国语学院,必修
11,A2050760,中国文化概论,2,32 | 0 | 0 | 0,外国语学院,选修
合计设置,必修：19 选修：2,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
2,A1030020,计算机应用实践,1,0 | 16 | 0 | 0,经济管理学院,必修
3,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
4,A2050610,英语口语2,2,0 | 32 | 0 | 0,外国语学院,必修
5,A2050620,英语时文阅读,2,16 | 16 | 0 | 0,外国语学院,必修
6,A2050560,英语基础写作1,2,16 | 16 | 0 | 0,外国语学院,必修
7,A2050240,基础英语2,4,64 | 0 | 0 | 0,外国语学院,必修
8,A2050640,英语听力2,2,0 | 32 | 0 | 0,外国语学院,必修
9,A2050650,英语听力实践,1,0 | 16 | 0 | 0,外国语学院,必修
10,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
11,A2050170,古希腊罗马神话,2,32 | 0 | 0 | 0,外国语学院,选修
合计设置,必修：18 选修：2,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2050680,英语小说阅读,2,16 | 16 | 0 | 0,外国语学院,必修
2,A2050690,英语演讲与辩论,2,32 | 0 | 0 | 0,外国语学院,必修
3,A2050750,语言学导论,2,32 | 0 | 0 | 0,外国语学院,必修
4,A2050460,新闻英语听力,2,16 | 16 | 0 | 0,外国语学院,必修
5,A2050530,英语表演,1,0 | 16 | 0 | 0,外国语学院,必修
6,A2050570,英语基础写作2,2,16 | 16 | 0 | 0,外国语学院,必修
7,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
9,A1030070,Excel管理数据分析,2,16 | 16 | 0 | 0,经济管理学院,选修
