4,A2021051,射频微波电路设计B,2.5,40 | 0 | 0 | 0,光电工程学院,必修
5,A2021130,电子材料与元器件,2,32 | 0 | 0 | 0,光电工程学院,选修
6,A2021250,无线通信系统原理与应用,2,32 | 0 | 0 | 0,光电工程学院,选修
1,A2021270,专业综合案例分析（研讨）（一）,1,16 | 0 | 0 | 0,光电工程学院,必修
2,A2021040,计算机算法与程序设计,3,32 | 16 | 0 | 0,光电工程学院,必修
3,A2020370,开关电路原理,3,32 | 16 | 0 | 0,光电工程学院,必修
4,A2010260,数字信号处理A,3,48 | 0 | 0 | 0,通信与信息工程学院,必修
5,A2010011,DSP原理与应用B,2,16 | 16 | 0 | 0,通信与信息工程学院,选修
6,A2020570,电子设计与电子系统,3,16 | 32 | 0 | 0,光电工程学院,选修
7,A2020671,数字集成电路设计B,2,32 | 0 | 0 | 0,光电工程学院,选修
8,A2020440,ARM综合设计及应用,2,16 | 16 | 0 | 0,光电工程学院,选修
9,A2020460,FPGA综合设计（案例分析）,2,16 | 16 | 0 | 0,光电工程学院,选修
10,A2020900,射频识别技术,2,32 | 0 | 0 | 0,光电工程学院,选修
1,A2020950,无线传播与网络规划,2,24 | 8 | 0 | 0,光电工程学院,必修
2,A2020910,射频微波电路原理,4,64 | 0 | 0 | 0,光电工程学院,必修
3,A2020990,射频微波电路设计与测试实验,2,0 | 32 | 0 | 0,光电工程学院,必修
4,A2021010,通信系统仿真（Matlab）,2,16 | 16 | 0 | 0,光电工程学院,必修
5,A2010342,通信原理E,4,56 | 8 | 0 | 0,通信与信息工程学院,必修
6,A1040070,微机原理与接口技术（微处理器原理与应用）,3,32 | 16 | 0 | 0,计算机科学与技术学院,选修
7,A2020690,数字系统与单片机,3,16 | 32 | 0 | 0,光电工程学院,选修
8,A2020870,课程设计（天线综合设计与仿真）,1,0 | 0 | 1.0周 | 0,光电工程学院,选修
9,A2021470,课程设计（射频微波电路综合设计与仿真）,1,0 | 0 | 1.0周 | 0,光电工程学院,选修
1,A2020260,微光机电系统,2,32 | 0 | 0 | 0,光电工程学院,必修
2,A2020030,光传输技术,2,32 | 0 | 0 | 0,光电工程学院,必修
3,A2020050,光电检测技术,2.5,40 | 0 | 0 | 0,光电工程学院,必修
4,A2020060,光电显示技术,2,32 | 0 | 0 | 0,光电工程学院,必修
5,A2021520,课程设计(光信息处理系统设计),1,0 | 0 | 1.0周 | 0,光电工程学院,选修
6,A2020200,计算机辅助光学测量技术,2,32 | 0 | 0 | 0,光电工程学院,选修
7,A2020230,课程设计(光学系统设计-Zemax、OSLO),1,0 | 0 | 1.0周 | 0,光电工程学院,选修
8,A2020240,数字成像技术,2,32 | 0 | 0 | 0,光电工程学院,选修
9,A2020180,基于MATLAB的光学仿真,2,8 | 24 | 0 | 0,光电工程学院,选修
10,A2020020,辐射度学与光度学,2,32 | 0 | 0 | 0,光电工程学院,选修
11,A2020070,光电新技术讲座,1,16 | 0 | 0 | 0,光电工程学院,选修
12,A2020040,光电传感器及其应用,2,32 | 0 | 0 | 0,光电工程学院,选修
13,A2020860,课程设计（电路及电子综合设计）,1,0 | 0 | 1.0周 | 0,光电工程学院,选修
14,A2020340,专业英语,2,32 | 0 | 0 | 0,光电工程学院,选修
15,A2021490,光电信息综合实验,3,0 | 48 | 0 | 0,光电工程学院,选修
1,A2021570,光学设备制造工艺实习,1,0 | 0 | 1.0周 | 0,光电工程学院,必修
2,A2020260,微光机电系统,2,32 | 0 | 0 | 0,光电工程学院,必修
3,A2020040,光电传感器及其应用,2,32 | 0 | 0 | 0,光电工程学院,必修
4,A2020050,光电检测技术,2.5,40 | 0 | 0 | 0,光电工程学院,必修
5,A2020060,光电显示技术,2,32 | 0 | 0 | 0,光电工程学院,必修
6,A2021490,光电信息综合实验,3,0 | 48 | 0 | 0,光电工程学院,必修
7,A2020180,基于MATLAB的光学仿真,2,8 | 24 | 0 | 0,光电工程学院,选修
8,A2010341,通信原理F,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
9,A2020070,光电新技术讲座,1,16 | 0 | 0 | 0,光电工程学院,选修
10,A2020230,课程设计(光学系统设计-Zemax、OSLO),1,0 | 0 | 1.0周 | 0,光电工程学院,选修
11,A2020240,数字成像技术,2,32 | 0 | 0 | 0,光电工程学院,选修
12,A2020860,课程设计（电路及电子综合设计）,1,0 | 0 | 1.0周 | 0,光电工程学院,选修
13,A2020690,数字系统与单片机,3,16 | 32 | 0 | 0,光电工程学院,选修
14,A2021520,课程设计(光信息处理系统设计),1,0 | 0 | 1.0周 | 0,光电工程学院,选修
15,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2031790,ICT企业模拟经营实训,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
2,A2030690,信息系统分析与设计,3,24 | 24 | 0 | 0,经济管理学院,必修
3,A2030710,信息组织、存储与检索,2.5,40 | 0 | 0 | 0,经济管理学院,必修
4,A2030730,专业实习,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
5,A200004B,企业调查,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
6,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
7,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
8,A2031570,生产与运作管理,3,48 | 0 | 0 | 0,经济管理学院,选修
9,A2030620,课程设计（商业数据分析）,1,0 | 0 | 1.0周 | 0,经济管理学院,选修
10,A2030410,大数据管理,3,32 | 16 | 0 | 0,经济管理学院,选修
1,A200004B,企业调查,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
2,A2030160,博弈论与信息经济学,2,32 | 0 | 0 | 0,经济管理学院,必修
3,A2030170,经济分析与预测实验,2,0 | 32 | 0 | 0,经济管理学院,必修
