col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
2,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
3,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,必修
4,A1110352,工程数学基础(1),3,48 | 0 | 0 | 0,理学院,必修
5,A1050030,大学英语1,4,64 | 0 | 0 | 0,外国语学院,必修
6,A2140370,工程技术基础(1)(工程图学与计算机绘图),3,32 | 16 | 0 | 0,先进制造工程学院,必修
7,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
8,A2081090,控制系统开发技术(1)（工程软件基础）,3,32 | 16 | 0 | 0,自动化学院,选修
9,A2081100,自动化专题讲座(1),0.5,8 | 0 | 0 | 0,自动化学院,选修
合计设置,必修：23.5 选修：3.5,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
2,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
3,A1110360,大学物理C（上）,4,48 | 16 | 0 | 0,理学院,必修
4,A1110021,高等数学A(下),4.5,72 | 0 | 0 | 0,理学院,必修
5,A1110351,工程数学基础(2),4.5,72 | 0 | 0 | 0,理学院,必修
6,A2021530,自动化技术基础(1)(电路分析),4,48 | 16 | 0 | 0,光电工程学院,必修
7,A1050050,大学英语3,4,64 | 0 | 0 | 0,外国语学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
9,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
10,A2081170,自动化专题讲座(2),0.5,8 | 0 | 0 | 0,自动化学院,选修
合计设置,必修：29 选修：0.5,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1110361,大学物理C（下）,4,48 | 16 | 0 | 0,理学院,必修
2,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
3,A2140012,工程技术基础(2)(金工实习),1,0 | 0 | 1.0周 | 0,先进制造工程学院,必修
4,A2081110,控制系统理论与方法(1)(自动控制原理),6,96 | 0 | 0 | 0,自动化学院,必修
5,A2021540,自动化技术基础(2)(模电数电),8.5,104 | 32 | 0 | 0,光电工程学院,必修
6,A2080011,工程技术基础(3)(电装实习),1,0 | 0 | 1.0周 | 0,自动化学院,必修
7,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
8,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
9,A2081370,控制系统开发技术(2)(数据结构),2.5,24 | 16 | 0 | 0,自动化学院,选修
