col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2150140,英语阅读1,1,16 | 0 | 0 | 0,国际学院,必修
2,A2150100,英语写作1,1,16 | 0 | 0 | 0,国际学院,必修
3,A2150060,英语视听说 1,2,32 | 0 | 0 | 0,国际学院,必修
4,A2051090,综合英语1,2,32 | 0 | 0 | 0,外国语学院,必修
5,A2010780,通信软件基础实训,1.5,0 | 24 | 0 | 0,通信与信息工程学院,必修
6,A1110110,线性代数与解析几何,3,48 | 0 | 0 | 0,理学院,必修
7,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,必修
8,A1040040,C语言程序设计,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
9,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
10,A2150130,英语语音与朗诵,2,32 | 0 | 0 | 0,国际学院,选修
合计设置,必修：20 选修：2,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1110290,大学物理A（上）,3,48 | 0 | 0 | 0,理学院,必修
2,A1110020,高等数学A(下),5.5,88 | 0 | 0 | 0,理学院,必修
3,A2021060,数字电路与逻辑设计实验A,2,0 | 32 | 0 | 0,光电工程学院,必修
4,A2021070,数字电路与逻辑设计,3.5,56 | 0 | 0 | 0,光电工程学院,必修
5,A2051100,综合英语2,2,32 | 0 | 0 | 0,外国语学院,必修
6,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
7,A2040480,数据结构与算法A,4,48 | 16 | 0 | 0,计算机科学与技术学院,必修
8,A2150070,英语视听说 2,1,16 | 0 | 0 | 0,国际学院,必修
9,A2110670,大学物理实验A(上),1,0 | 16 | 0 | 0,理学院,必修
10,A2150110,英语写作2,1,16 | 0 | 0 | 0,国际学院,必修
11,A2150150,英语阅读2,1,16 | 0 | 0 | 0,国际学院,必修
合计设置,必修：25 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2110680,大学物理实验A(下),1,0 | 16 | 0 | 0,理学院,必修
2,A2150080,英语视听说 3,1,16 | 0 | 0 | 0,国际学院,必修
3,A1110300,大学物理A（下）,3,48 | 0 | 0 | 0,理学院,必修
4,A2051110,综合英语3,2,32 | 0 | 0 | 0,外国语学院,必修
5,A2020351,电路分析基础D,3,40 | 8 | 0 | 0,光电工程学院,必修
6,A2010570,信息论基础,2,32 | 0 | 0 | 0,通信与信息工程学院,必修
7,A2010770,通信软件基础B,2,16 | 16 | 0 | 0,通信与信息工程学院,必修
8,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,必修
9,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
10,A2150020,西方社会与文化,2,32 | 0 | 0 | 0,国际学院,选修
11,A2051070,英语中级新闻听力1,2,32 | 0 | 0 | 0,外国语学院,选修
合计设置,必修：18 选修：4,,,,,
,,,,,,
第4学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A2010530,现代通信网络A,4,64 | 0 | 0 | 0,通信与信息工程学院,必修
2,A2010560,信号与系统B,4,64 | 0 | 0 | 0,通信与信息工程学院,必修
3,A2010820,无线通信电波传播与天线,3,40 | 8 | 0 | 0,通信与信息工程学院,必修
4,A2021350,电子电路基础B,3.5,40 | 16 | 0 | 0,光电工程学院,必修
5,A2051120,综合英语4,1,16 | 0 | 0 | 0,外国语学院,必修
6,A2080010,电装实习,1,0 | 0 | 1.0周 | 0,自动化学院,必修
7,A2150090,英语视听说 4,1,16 | 0 | 0 | 0,国际学院,必修
8,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
9,A2051080,英语中级新闻听力2,1,16 | 0 | 0 | 0,外国语学院,选修
10,A2150050,学术英语写作,2,32 | 0 | 0 | 0,国际学院,选修
11,A2150120,英语演讲与辩论,2,32 | 0 | 0 | 0,国际学院,选修
合计设置,必修：18 选修：5,,,,,
,,,,,,
第5学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
合计设置,必修：0.5 选修：0,,,,,
,,,,,,
第6学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
合计设置,必修：0.5 选修：0,,,,,
,,,,,,
第7学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
合计设置,必修：0.5 选修：0,,,,,
,,,,,,
第8学期,,,,,,
