col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
2,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
3,A1050010,大学英语(1),4,64 | 0 | 0 | 0,外国语学院,必修
4,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
5,A2121300,专业色彩1,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修
6,A2121510,计算机艺术设计基础,2,16 | 16 | 0 | 0,传媒艺术学院,必修
7,A2121380,构成,3,24 | 24 | 0 | 0,传媒艺术学院,必修
8,A2121330,专业素描1,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修
合计设置,必修：20 选修：0,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
2,A2120250,场景速写,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修
3,A2120510,计算机图形制作,3,24 | 24 | 0 | 0,传媒艺术学院,必修
4,A2120550,角色动态速写,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修
5,A1050020,大学英语(2),4,64 | 0 | 0 | 0,外国语学院,必修
6,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
7,A2121310,专业色彩2,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修
8,A2121340,专业素描2,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修
9,A2121460,写生,2,0 | 0 | 2.0周 | 0,传媒艺术学院,必修
10,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
合计设置,必修：23 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
2,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
3,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
4,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
5,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
6,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
7,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
8,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
合计设置,必修：0.5 选修：20,,,,,
   ( 动画专业课程设置),,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
