col1,col2,col3,col4,col5,col6,col7
第1学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
2,A2120030,PHOTOSHOP辅助设计,4,0 | 64 | 0 | 0,传媒艺术学院,必修
3,A1050010,大学英语(1),4,64 | 0 | 0 | 0,外国语学院,必修
4,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
5,A2120730,设计色彩1,2.5,0 | 40 | 0 | 0,传媒艺术学院,必修
6,A2121390,构成1(艺术设计类专业),3,0 | 48 | 0 | 0,传媒艺术学院,必修
7,A2121510,计算机艺术设计基础,2,16 | 16 | 0 | 0,传媒艺术学院,必修
8,A2120790,设计素描1,3.5,0 | 56 | 0 | 0,传媒艺术学院,必修
9,A2121000,西方现代美术史,2,32 | 0 | 0 | 0,传媒艺术学院,必修
合计设置,必修：25 选修：0,,,,,
,,,,,,
第2学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
2,A1050020,大学英语(2),4,64 | 0 | 0 | 0,外国语学院,必修
3,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
4,A2120740,设计色彩2,2.5,0 | 40 | 0 | 0,传媒艺术学院,必修
5,A2120800,设计素描2,3.5,0 | 56 | 0 | 0,传媒艺术学院,必修
6,A2121470,写生(艺术设计类专业),2,0 | 0 | 2.0周 | 0,传媒艺术学院,必修
7,A2121490,影像技术(艺术设计类专业),2,8 | 24 | 0 | 0,传媒艺术学院,必修
8,A2121400,构成2(艺术设计类专业),2,0 | 32 | 0 | 0,传媒艺术学院,必修
9,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
合计设置,必修：20 选修：0,,,,,
,,,,,,
第3学期,,,,,,
,,,,,,
序号,课程号,课程名称,学分,学时,开课学院,修读要求
,,,,理论|实验|实践|网络,,
1,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修
2,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
3,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
4,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
5,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
6,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
7,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
8,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
