序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
65,A2090260,社会体育导论,2,32 | 0 | 0 | 0,体育学院,必修,
66,A2090160,乒乓球,3,48 | 0 | 0 | 0,体育学院,必修,
67,A2090650,足球,3,48 | 0 | 0 | 0,体育学院,必修,
68,A2110870,数学分析B1,5.5,88 | 0 | 0 | 0,理学院,必修,
69,A2110370,普通物理学A1,3.5,56 | 0 | 0 | 0,理学院,必修,
70,A2110450,数学分析A1,5.5,88 | 0 | 0 | 0,理学院,必修,
71,A2110130,高等代数（上）,4,64 | 0 | 0 | 0,理学院,必修,
72,A2110210,解析几何,3,48 | 0 | 0 | 0,理学院,必修,
73,A2121260,中外文学,4,64 | 0 | 0 | 0,传媒艺术学院,必修,
74,A2121560,摄影,3,24 | 24 | 0 | 0,传媒艺术学院,必修,
75,A2120500,基础写作,2,32 | 0 | 0 | 0,传媒艺术学院,必修,
76,A2121061,艺术概论B,2,32 | 0 | 0 | 0,传媒艺术学院,必修,
77,A2121180,影视作品分析1,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修,
78,A2120350,电视艺术概论,3,48 | 0 | 0 | 0,传媒艺术学院,必修,
79,A2121070,音乐基础,2,32 | 0 | 0 | 0,传媒艺术学院,选修,
80,A2120030,PHOTOSHOP辅助设计,4,0 | 64 | 0 | 0,传媒艺术学院,必修,
81,A2120730,设计色彩1,2.5,0 | 40 | 0 | 0,传媒艺术学院,必修,
82,A2121390,构成1(艺术设计类专业),3,0 | 48 | 0 | 0,传媒艺术学院,必修,
83,A2121510,计算机艺术设计基础,2,16 | 16 | 0 | 0,传媒艺术学院,必修,
84,A2120790,设计素描1,3.5,0 | 56 | 0 | 0,传媒艺术学院,必修,
85,A2121000,西方现代美术史,2,32 | 0 | 0 | 0,传媒艺术学院,必修,
86,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修,
87,A2121300,专业色彩1,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修,
88,A2121380,构成,3,24 | 24 | 0 | 0,传媒艺术学院,必修,
89,A2121330,专业素描1,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修,
90,A2121060,艺术概论A,3,48 | 0 | 0 | 0,传媒艺术学院,必修,
91,A2122030,故事写作,2,32 | 0 | 0 | 0,传媒艺术学院,必修,
92,A2130010,编程基础（1）面向过程,4,48 | 16 | 0 | 0,软件工程学院,必修,
93,A2130180,软件工程导论,2,32 | 0 | 0 | 0,软件工程学院,必修,
94,A2130580,计算机应用能力开放实验,1,0 | 16 | 0 | 0,软件工程学院,必修,
95,A2050970,英语视听说1,2,32 | 0 | 0 | 0,外国语学院,必修,
96,A2051090,综合英语1,2,32 | 0 | 0 | 0,外国语学院,必修,
97,A2051050,英语阅读1,1,16 | 0 | 0 | 0,外国语学院,必修,
98,A2050850,日语精读1,4,64 | 0 | 0 | 0,外国语学院,必修,
99,A2050890,日语视听说1,2,32 | 0 | 0 | 0,外国语学院,必修,
100,A2140070,工程图学,3,48 | 0 | 0 | 0,先进制造工程学院,必修,
101,A2150140,英语阅读1,1,16 | 0 | 0 | 0,国际学院,必修,
102,A2150100,英语写作1,1,16 | 0 | 0 | 0,国际学院,必修,
103,A2150060,英语视听说 1,2,32 | 0 | 0 | 0,国际学院,必修,
104,A2010780,通信软件基础实训,1.5,0 | 24 | 0 | 0,通信与信息工程学院,必修,
105,A2150130,英语语音与朗诵,2,32 | 0 | 0 | 0,国际学院,选修,
106,A2011200,工程英语,2,32 | 0 | 0 | 0,通信与信息工程学院,必修,
107,A2150041,英语听说B,1,16 | 0 | 0 | 0,国际学院,必修,
108,A2051090,综合英语1,2,32 | 0 | 0 | 0,外国语学院,选修,
