序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
1,A1110300,大学物理A（下）,3,48 | 0 | 0 | 0,理学院,必修,
2,A2110680,大学物理实验A(下),1,0 | 16 | 0 | 0,理学院,必修,
3,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修,
4,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修,
5,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修,
6,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修,
7,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修,
8,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修,
9,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修,
10,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修,
11,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修,
12,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修,
13,A1110140,概率论与数理统计,3,48 | 0 | 0 | 0,理学院,必修,
14,A2010563,信号与系统A,4.5,72 | 0 | 0 | 0,通信与信息工程学院,必修,
15,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修,
16,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修,
17,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,必修,
18,A1110230,复变函数,2,32 | 0 | 0 | 0,理学院,必修,
19,A2010570,信息论基础,2,32 | 0 | 0 | 0,通信与信息工程学院,必修,
20,A2010451,微处理器系统结构与嵌入式系统设计(1),3.5,24 | 32 | 0 | 0,通信与信息工程学院,必修,
21,A2140081,工程图学与计算机绘图B,2,32 | 0 | 0 | 0,先进制造工程学院,必修,
22,A2020351,电路分析基础D,3,40 | 8 | 0 | 0,光电工程学院,必修,
23,A2011000,企业认知实习2,1,0 | 0 | 3.0周 | 0,通信与信息工程学院,必修,
24,A2010770,通信软件基础B,2,16 | 16 | 0 | 0,通信与信息工程学院,必修,
25,A1110220,数学物理方法（含复变函数、数理方程、积分变换）,3,48 | 0 | 0 | 0,理学院,必修,
26,A2080010,电装实习,1,0 | 0 | 1.0周 | 0,自动化学院,必修,
27,A2020350,电路分析基础B,3.5,56 | 0 | 0 | 0,光电工程学院,必修,
28,A2020800,电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修,
29,A1110341,大学物理实验B（下）,1,0 | 16 | 0 | 0,理学院,必修,
30,A200001A,认识实习,1,0 | 0 | 1.0周 | 0,光电工程学院,必修,
31,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修,
32,A2030650,数据库系统原理与技术,4.5,56 | 16 | 0 | 0,经济管理学院,必修,
33,A2031730,运筹学,3,48 | 0 | 0 | 0,经济管理学院,必修,
34,A2030390,JAVA语言,4,48 | 16 | 0 | 0,经济管理学院,选修,
35,A2030400,Web应用程序设计,3,32 | 16 | 0 | 0,经济管理学院,选修,
36,A2031480,电子商务概论B,2.5,32 | 8 | 0 | 0,经济管理学院,选修,
