序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
37,A2030200,经济学沙盘模拟实训,1,0 | 0 | 1.0周 | 0,经济管理学院,必修,
38,A2030230,通信经济学,3,48 | 0 | 0 | 0,经济管理学院,必修,
39,A2030080,宏观经济学,3,48 | 0 | 0 | 0,经济管理学院,必修,
40,A2031790,ICT企业模拟经营实训,1,0 | 0 | 1.0周 | 0,经济管理学院,必修,
41,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修,
42,A2030050,公司金融,3,48 | 0 | 0 | 0,经济管理学院,选修,
43,A2030340,BIM识图构造综合实训,2,0 | 0 | 2.0周 | 0,经济管理学院,必修,
44,A2031670,物流与供应链管理,2.5,32 | 8 | 0 | 0,经济管理学院,选修,
45,A2030590,建筑结构,2,32 | 0 | 0 | 0,经济管理学院,选修,
46,A1030050,计算机网络技术,3,32 | 16 | 0 | 0,经济管理学院,选修,
47,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修,
48,A1030040,数据库系统应用,3,32 | 16 | 0 | 0,经济管理学院,选修,
49,A2032190,市场营销学E,3,32 | 16 | 0 | 0,经济管理学院,必修,
50,A2031040,会计学,3,48 | 0 | 0 | 0,经济管理学院,必修,
51,A2032090,面向现代企业制度的管理伦理,0.5,8 | 0 | 0 | 0,经济管理学院,必修,
52,A2032050,管理学E,3,32 | 16 | 0 | 0,经济管理学院,必修,
53,A2032060,会计学模拟实践,1,0 | 0 | 1.0周 | 0,经济管理学院,必修,
54,A2032160,微观经济学E,3,32 | 16 | 0 | 0,经济管理学院,必修,
55,A2032050,管理学E,3,32 | 16 | 0 | 0,经济管理学院,选修,
56,A2032300,创业案例分析,1,16 | 0 | 0 | 0,经济管理学院,必修,
57,A200001B,认识实习,1,0 | 0 | 1.0周 | 0,经济管理学院,必修,
58,A2030190,经济学,4,64 | 0 | 0 | 0,经济管理学院,必修,
59,A1030040,数据库系统应用,3,32 | 16 | 0 | 0,经济管理学院,必修,
60,A2032510,邮政管理导论,1,16 | 0 | 0 | 0,经济管理学院,必修,
61,A2031240,市场营销学A,3,48 | 0 | 0 | 0,经济管理学院,选修,
62,A1110320,大学物理B（下）,3,48 | 0 | 0 | 0,理学院,必修,
63,A200001C,认识实习,1,0 | 0 | 1.0周 | 0,计算机科学与技术学院,必修,
64,A2020390,数字与逻辑电路基础,3,48 | 0 | 0 | 0,光电工程学院,必修,
65,A2021020,电路与模拟电子技术B,2,32 | 0 | 0 | 0,光电工程学院,必修,
66,A2021060,数字电路与逻辑设计实验A,2,0 | 32 | 0 | 0,光电工程学院,必修,
67,A2040480,数据结构与算法A,4,48 | 16 | 0 | 0,计算机科学与技术学院,必修,
68,A2021070,数字电路与逻辑设计,3.5,56 | 0 | 0 | 0,光电工程学院,必修,
69,A2050680,英语小说阅读,2,16 | 16 | 0 | 0,外国语学院,必修,
70,A2050690,英语演讲与辩论,2,32 | 0 | 0 | 0,外国语学院,必修,
71,A2050750,语言学导论,2,32 | 0 | 0 | 0,外国语学院,必修,
72,A2050460,新闻英语听力,2,16 | 16 | 0 | 0,外国语学院,必修,
73,A2050530,英语表演,1,0 | 16 | 0 | 0,外国语学院,必修,
74,A2050570,英语基础写作2,2,16 | 16 | 0 | 0,外国语学院,必修,
75,A1030070,Excel管理数据分析,2,16 | 16 | 0 | 0,经济管理学院,选修,
76,A2050180,韩语1,3,32 | 0 | 0 | 16,外国语学院,选修,
77,A2050020,《圣经》与文化,2,32 | 0 | 0 | 0,外国语学院,选修,
78,A2050040,德语1,3,32 | 0 | 0 | 16,外国语学院,选修,
79,A2050100,法语1,3,32 | 0 | 0 | 16,外国语学院,选修,
80,A2050360,日语1,3,32 | 0 | 0 | 16,外国语学院,选修,
81,A2050320,跨文化交际,2,32 | 0 | 0 | 0,外国语学院,选修,
82,A2020353,电路分析基础C,3,48 | 0 | 0 | 0,光电工程学院,必修,
83,A2021021,电路与模拟电子技术A,3,48 | 0 | 0 | 0,光电工程学院,必修,
84,A2021200,模拟电子电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修,
85,A2010561,信号与系统D,3,48 | 0 | 0 | 0,通信与信息工程学院,必修,
86,A2020361,电子电路基础C,3,48 | 0 | 0 | 0,光电工程学院,必修,
87,A2080580,软件技术基础,2.5,24 | 16 | 0 | 0,自动化学院,必修,
88,A1110361,大学物理C（下）,4,48 | 16 | 0 | 0,理学院,必修,
89,A2140012,工程技术基础(2)(金工实习),1,0 | 0 | 1.0周 | 0,先进制造工程学院,必修,
90,A2081110,控制系统理论与方法(1)(自动控制原理),6,96 | 0 | 0 | 0,自动化学院,必修,
91,A2021540,自动化技术基础(2)(模电数电),8.5,104 | 32 | 0 | 0,光电工程学院,必修,
92,A2080011,工程技术基础(3)(电装实习),1,0 | 0 | 1.0周 | 0,自动化学院,必修,
93,A2081370,控制系统开发技术(2)(数据结构),2.5,24 | 16 | 0 | 0,自动化学院,选修,
94,A2081180,自动化专题讲座(3),0.5,8 | 0 | 0 | 0,自动化学院,选修,
95,A2060270,运动生理学,3,40 | 8 | 0 | 0,生物信息学院,必修,
96,A200001D,认识实习,1,0 | 0 | 1.0周 | 0,体育学院,必修,
97,A2090280,体育测量与评价,2,32 | 0 | 0 | 0,体育学院,必修,
98,A2090340,体育竞赛组织与管理,2,32 | 0 | 0 | 0,体育学院,必修,
99,A2090560,游泳与救生2,1,16 | 0 | 0 | 0,体育学院,必修,
100,A2090470,武术,3,48 | 0 | 0 | 0,体育学院,选修,
101,A2090430,网球,3,48 | 0 | 0 | 0,体育学院,选修,
102,A2090020,健美操,3,48 | 0 | 0 | 0,体育学院,选修,
103,A2090100,篮球,3,48 | 0 | 0 | 0,体育学院,选修,
104,A2110710,电磁学,3,48 | 0 | 0 | 0,理学院,必修,
105,A2110740,光学,2,32 | 0 | 0 | 0,理学院,必修,
106,A2110750,基础物理实验,2,0 | 32 | 0 | 0,理学院,必修,
107,A2110520,数学物理方法（物理类）,5,80 | 0 | 0 | 0,理学院,必修,
108,A2110291,理论力学B,2,32 | 0 | 0 | 0,理学院,必修,
109,A2021021,电路与模拟电子技术A,3,48 | 0 | 0 | 0,光电工程学院,选修,
110,A2021200,模拟电子电路实验,1,0 | 16 | 0 | 0,光电工程学院,选修,
111,A2121200,影视作品分析3,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修,
112,A2121430,摄像技术2,2,16 | 16 | 0 | 0,传媒艺术学院,必修,
113,A2121080,影视编辑技艺A,6,32 | 64 | 0 | 0,传媒艺术学院,必修,
114,A2121081,影视编辑技艺B,4,24 | 40 | 0 | 0,传媒艺术学院,必修,
115,A2130370,课程设计(面向对象程序设计）,1,0 | 0 | 1.0周 | 0,软件工程学院,必修,
116,A200001E,认识实习,1,0 | 0 | 1.0周 | 0,软件工程学院,必修,
117,A2130200,数据与算法基础 (1) (数据结构),4,48 | 16 | 0 | 0,软件工程学院,必修,
118,A2130210,数据与算法基础 (2) (数据库),3,32 | 16 | 0 | 0,软件工程学院,必修,
119,A2130620,软件需求工程,2,32 | 0 | 0 | 0,软件工程学院,必修,
120,A2130590,软件测试与维护,2,32 | 0 | 0 | 0,软件工程学院,必修,
121,A2050990,英语视听说3,2,32 | 0 | 0 | 0,外国语学院,必修,
122,A2051030,英语写作2,1,16 | 0 | 0 | 0,外国语学院,必修,
123,A2051040,英语语音与朗诵,2,32 | 0 | 0 | 0,外国语学院,选修,
124,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,选修,
125,A1110140,概率论与数理统计,3,48 | 0 | 0 | 0,理学院,选修,
126,A2051110,综合英语3,2,32 | 0 | 0 | 0,外国语学院,选修,
127,A2050870,日语精读3,3,48 | 0 | 0 | 0,外国语学院,必修,
128,A2050910,日语视听说3,2,32 | 0 | 0 | 0,外国语学院,选修,
129,A2020810,电子技术实验B,1.5,0 | 24 | 0 | 0,光电工程学院,必修,
130,A2021110,电工学下,4,64 | 0 | 0 | 0,光电工程学院,必修,
131,A2140190,理论力学,3.5,56 | 0 | 0 | 0,先进制造工程学院,必修,
132,A1040080,数据结构,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修,
133,A2150080,英语视听说 3,1,16 | 0 | 0 | 0,国际学院,必修,
134,A2051110,综合英语3,2,32 | 0 | 0 | 0,外国语学院,必修,
135,A2150020,西方社会与文化,2,32 | 0 | 0 | 0,国际学院,选修,
136,A2051070,英语中级新闻听力1,2,32 | 0 | 0 | 0,外国语学院,选修,
137,A2021300,电路理论及应用I(美方授课),3,48 | 0 | 0 | 0,光电工程学院,必修,
138,A2021310,电路理论及应用实验I(美方授课),1,0 | 16 | 0 | 0,光电工程学院,必修,
139,A2011220,微处理器(美方授课),4,32 | 32 | 0 | 0,通信与信息工程学院,必修,
140,A2150010,批判性思维,2,32 | 0 | 0 | 0,国际学院,选修,
141,A2020940,微电子学科基础,4,64 | 0 | 0 | 0,光电工程学院,必修,
142,A2020360,电子电路基础A,3.5,56 | 0 | 0 | 0,光电工程学院,必修,
143,A2020580,固体物理(双语),2.5,40 | 0 | 0 | 0,光电工程学院,选修,
144,A2021001,固体物理,2.5,40 | 0 | 0 | 0,光电工程学院,选修,
