,序号,课程号,课程名称,开课学院,是否
0,1,A1110300,大学物理A（下）,理学院,是
1,2,A2110680,大学物理实验A(下),理学院,是
2,3,A1050060,综合英语,外国语学院,是
3,4,A1050080,高级口语,外国语学院,是
4,5,A1050090,影视英语与文化,外国语学院,是
5,6,A1050100,中国文化传播,外国语学院,否
6,7,A1050110,英语国家社会与文化,外国语学院,是
7,8,A1050120,国际职场文化,外国语学院,否
8,9,A1050130,跨文化沟通,外国语学院,否
9,10,A1050140,商务交际英语,外国语学院,是
10,11,A1050150,科技英语,外国语学院,否
11,12,A1090030,体育（俱乐部）,体育学院,否
12,13,A1110140,概率论与数理统计,理学院,是
13,14,A2010563,信号与系统A,通信与信息工程学院,是
14,15,A1090030,体育（俱乐部）,体育学院,否
15,16,A1100010,形势与政策,马克思主义学院,是
16,17,A1110130,随机数学（含概率论、数理统计、随机过程）,理学院,是
17,18,A1110230,复变函数,理学院,是
18,19,A2010570,信息论基础,通信与信息工程学院,是
19,20,A2010451,微处理器系统结构与嵌入式系统设计(1),通信与信息工程学院,是
20,21,A2140081,工程图学与计算机绘图B,先进制造工程学院,是
21,22,A2020351,电路分析基础D,光电工程学院,是
22,23,A2011000,企业认知实习2,通信与信息工程学院,是
23,24,A2010770,通信软件基础B,通信与信息工程学院,是
24,25,A1110220,数学物理方法（含复变函数、数理方程、积分变换）,理学院,是
25,26,A2080010,电装实习,自动化学院,是
26,27,A2020350,电路分析基础B,光电工程学院,是
27,28,A2020800,电路实验,光电工程学院,是
28,29,A1110341,大学物理实验B（下）,理学院,是
29,30,A200001A,认识实习,光电工程学院,否
30,31,A1100040,中国近现代史纲要,马克思主义学院,是
31,32,A2030650,数据库系统原理与技术,经济管理学院,是
32,33,A2031730,运筹学,经济管理学院,是
33,34,A2030390,JAVA语言,经济管理学院,是
34,35,A2030400,Web应用程序设计,经济管理学院,是
35,36,A2031480,电子商务概论B,经济管理学院,是
36,37,A2030200,经济学沙盘模拟实训,经济管理学院,是
37,38,A2030230,通信经济学,经济管理学院,是
38,39,A2030080,宏观经济学,经济管理学院,是
39,40,A2031790,ICT企业模拟经营实训,经济管理学院,是
40,41,A1100030,马克思主义基本原理,马克思主义学院,是
41,42,A2030050,公司金融,经济管理学院,是
42,43,A2030340,BIM识图构造综合实训,经济管理学院,是
43,44,A2031670,物流与供应链管理,经济管理学院,否
44,45,A2030590,建筑结构,经济管理学院,是
45,46,A1030050,计算机网络技术,经济管理学院,是
46,47,A1100050,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,是
47,48,A1030040,数据库系统应用,经济管理学院,是
48,49,A2032190,市场营销学E,经济管理学院,是
49,50,A2031040,会计学,经济管理学院,是
50,51,A2032090,面向现代企业制度的管理伦理,经济管理学院,是
51,52,A2032050,管理学E,经济管理学院,是
52,53,A2032060,会计学模拟实践,经济管理学院,是
53,54,A2032160,微观经济学E,经济管理学院,是
54,55,A2032050,管理学E,经济管理学院,是
55,56,A2032300,创业案例分析,经济管理学院,是
56,57,A200001B,认识实习,经济管理学院,是
57,58,A2030190,经济学,经济管理学院,是
58,59,A1030040,数据库系统应用,经济管理学院,是
59,60,A2032510,邮政管理导论,经济管理学院,是
60,61,A2031240,市场营销学A,经济管理学院,否
61,62,A1110320,大学物理B（下）,理学院,是
62,63,A200001C,认识实习,计算机科学与技术学院,是
63,64,A2020390,数字与逻辑电路基础,光电工程学院,是
64,65,A2021020,电路与模拟电子技术B,光电工程学院,是
65,66,A2021060,数字电路与逻辑设计实验A,光电工程学院,是
66,67,A2040480,数据结构与算法A,计算机科学与技术学院,是
67,68,A2021070,数字电路与逻辑设计,光电工程学院,是
68,69,A2050680,英语小说阅读,外国语学院,是
69,70,A2050690,英语演讲与辩论,外国语学院,是
70,71,A2050750,语言学导论,外国语学院,是
71,72,A2050460,新闻英语听力,外国语学院,是
72,73,A2050530,英语表演,外国语学院,是
73,74,A2050570,英语基础写作2,外国语学院,是
74,75,A1030070,Excel管理数据分析,经济管理学院,是
75,76,A2050180,韩语1,外国语学院,否
76,77,A2050020,《圣经》与文化,外国语学院,是
