序号,课程号,课程名称,开课学院,是否
1,A1110300,大学物理A（下）,理学院,是
2,A2110680,大学物理实验A(下),理学院,否
3,A1050060,综合英语,外国语学院,否
4,A1050080,高级口语,外国语学院,否
5,A1050090,影视英语与文化,外国语学院,否
6,A1050100,中国文化传播,外国语学院,否
7,A1050110,英语国家社会与文化,外国语学院,否
8,A1050120,国际职场文化,外国语学院,否
9,A1050130,跨文化沟通,外国语学院,否
10,A1050140,商务交际英语,外国语学院,否
11,A1050150,科技英语,外国语学院,否
12,A1090030,体育（俱乐部）,体育学院,否
13,A1110140,概率论与数理统计,理学院,是
14,A2010563,信号与系统A,通信与信息工程学院,否
15,A1090030,体育（俱乐部）,体育学院,否
16,A1100010,形势与政策,马克思主义学院,否
17,A1110130,随机数学（含概率论、数理统计、随机过程）,理学院,是
18,A1110230,复变函数,理学院,是
19,A2010570,信息论基础,通信与信息工程学院,否
20,A2010451,微处理器系统结构与嵌入式系统设计(1),通信与信息工程学院,否
21,A2140081,工程图学与计算机绘图B,先进制造工程学院,否
22,A2020351,电路分析基础D,光电工程学院,否
23,A2011000,企业认知实习2,通信与信息工程学院,否
24,A2010770,通信软件基础B,通信与信息工程学院,否
25,A1110220,数学物理方法（含复变函数、数理方程、积分变换）,理学院,是
26,A2080010,电装实习,自动化学院,否
27,A2020350,电路分析基础B,光电工程学院,否
28,A2020800,电路实验,光电工程学院,否
29,A1110341,大学物理实验B（下）,理学院,否
30,A200001A,认识实习,光电工程学院,否
31,A1100040,中国近现代史纲要,马克思主义学院,否
32,A2030650,数据库系统原理与技术,经济管理学院,否
33,A2031730,运筹学,经济管理学院,否
34,A2030390,JAVA语言,经济管理学院,否
35,A2030400,Web应用程序设计,经济管理学院,否
36,A2031480,电子商务概论B,经济管理学院,否
37,A2030200,经济学沙盘模拟实训,经济管理学院,否
38,A2030230,通信经济学,经济管理学院,否
39,A2030080,宏观经济学,经济管理学院,否
40,A2031790,ICT企业模拟经营实训,经济管理学院,否
41,A1100030,马克思主义基本原理,马克思主义学院,否
42,A2030050,公司金融,经济管理学院,否
