No.,课程编号,课程名称
1,80111,金工实习
2,80117,现代设计方法
3,80139,机械工程基础
4,80144,机器人技术及应用
5,80190,课程设计(机械系统综合)
6,80194,毕业实习
7,81310,机械设计
8,81311,机械控制工程基础
9,140602,有限元应用与工程实践
10,140603,工程测量与传感技朿/td>
11,140604,电机驱动技朿/td>
12,140605,先进制造实乿/td>
13,A1145010,机械原理
14,A2140010,金工实习B
15,A2140012,工程技术基础(2)(金工实习)
16,A2140070,工程图学
17,A2140080,工程图学与计算机绘图A
18,A2140081,工程图学与计算机绘图B
19,A2140190,理论力学
20,A2140270,智能工厂信息化管琿/td>
21,A2140370,工程技术基础(1)(工程图学与计算机绘图)
22,W14001,先进制造技术概访/td>
